Asset ID,Project,Title,Drive File ID,Master URL,Current File Name,Artifact Class,Authoritative System,Lifecycle Status,Current Version Label,Retention Tier,Readback Status,Inventory Scope,Notes
CW-HTML-003,Converging Waters,Measurement Purpose Visual Section v3,,,Measurement_Purpose_Visual_Section_v3.html,VARIANT,Google Drive,DRAFT,v03,WORKING,BLOCKED,LOCAL_STAGING,Select canonical HTML master
CW-HTML-004,Converging Waters,Measurement Purpose Visual Section v3 Interactive,,,Measurement_Purpose_Visual_Section_v3_Interactive.html,VARIANT,Google Drive,REVIEW,v03,WORKING,BLOCKED,LOCAL_STAGING,Interactive variant
CW-WEB-002,Converging Waters,Willkamayu embedded preview v0.8,,,willkamayu-v0.8-embedded-preview.html,VARIANT,GitHub + Google Drive,DRAFT,v08,WORKING,BLOCKED,LOCAL_STAGING,Historical web variant
CW-WEB-003,Converging Waters,Willkamayu embedded preview v0.10,,,willkamayu-v0.10-embedded-preview.html,VARIANT,GitHub + Google Drive,REVIEW,v10,WORKING,BLOCKED,LOCAL_STAGING,Historical web variant
CW-WEB-004,Converging Waters,Willkamayu Netlify package v5,,,willkamayu-netlify-v5.zip,RELEASE_SNAPSHOT,GitHub + Google Drive,ARCHIVED,v05,APPROVED,BLOCKED,LOCAL_STAGING,Package/archive
CW-SRC-001,Converging Waters,Amazonas Sagrada Proposal,,,Amazonas_Sagrada_Proposal (1).pdf,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Project source
CW-SRC-002,Converging Waters,Patrick Portfolio,,,PORTAFOLIO PATRICK.pdf,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Participant source
CW-SRC-003,Converging Waters,Patrick CV English,,,PATRICK QV CV.pdf,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Participant source
CW-SRC-004,Converging Waters,Patrick CV Spanish,,,CV PATRICK QV (1).pdf,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Participant source
CW-SRC-005,Converging Waters,María Gracia CV English,,,CV-MG (english ene 2026).pdf,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Participant source
CW-SRC-006,Converging Waters,JRVS Definition of Roles Draft,,,JRVS Definicion Roles BORRADOR.md,REFERENCE,Google Drive,ARCHIVED,v01,WORKING,BLOCKED,LOCAL_STAGING,Precedent only; JRVS inactive
CW-SRC-007,Converging Waters,Reference Websites Principles and Storytelling,,,Webs-de-Referencia-Principios-y-Storytelling.txt,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Reference list
CW-SRC-008,Converging Waters,Master Synthesis and Web Branch,,,Rama Síntesis maestra y web - Converging Waters.txt,REFERENCE,Google Drive,REVIEW,v01,WORKING,BLOCKED,LOCAL_STAGING,Conversation export
CW-LOCAL-UNMAPPED,Converging Waters,Unmapped generated PNG group,,,Multiple UUID-named PNG files,MASTER_BLOB,Google Drive,DRAFT,v01,WORKING,BLOCKED,LOCAL_STAGING_PARTIAL,Visual/context mapping required before assigning stable conceptual asset IDs
